review_priority,supplier_item_id,source_row_number,normalised_brand,candidate_original_name,supplier_clone_name,supplier_code,flags,required_action
Medium,SUP-20260426-00014,16,Acqua Di Parma,OUD & Spice,Italy In The Night,233551,lz_clone_name,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00023,25,AF,Flower Oxy,Flower Oxy,339818,lz_clone_name,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00024,26,AF,Citron Oxy,Citron Oxy,339816,lz_clone_name,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00028,30,Ajmal,1101 Nights,Afrah,554861,lz_clone_name,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00029,31,Ajmal,Amber Wood,,240801,top,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00032,34,Ajmal,Ambre Pimente,Brownsy,353631,lz_clone_name,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00033,35,Ajmal,Silk Musk,,240065,top,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00035,37,Ajmal,Black Rose,Rose Black,338565,lz_clone_name,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00053,56,Ajmal,Wisal,,240392,top,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00057,60,Al Jazeera,Onxy,Black Gemstone,702567-D,lz_clone_name,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00058,61,Al Jazeera,Damascus,Oudssaya,343661-H,lz_clone_name,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00059,62,Al Jazeera,Venice,Piazza San Marco,461944-A,lz_clone_name,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00060,63,Al Jazeera,Wisteria,Blue Rain,680021-T,lz_clone_name; top,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00061,64,Al Jazeera,Venice,Piazza San Marco,461944-T,lz_clone_name; top,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00062,65,Al Jazeera,Magic,Houdini,503629,lz_clone_name,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00063,66,Al Teeb,Lora Dar,Lo Ys,693067,lz_clone_name,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00064,67,Al Teeb,Juliet Dar,Liet Ys,261067,lz_clone_name,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00065,68,Al Teeb,Warde-dar,Passion Ys,339927,lz_clone_name,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00066,69,Alexandre. J,Mandarine Sultane,Alhambra Garden,343622-A,lz_clone_name,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00067,70,Alexandre. J,Mandarine Sultane No,Alhambra Garden,343622,lz_clone_name,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00068,71,Alexandre. J,Morning Muscs,Fresh Dewdrop,461305-B,lz_clone_name,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00072,75,Alexandre J,Altesse,Savoy Of India,461250-B,lz_clone_name,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00087,90,Amouage,Purpose,,240804,top,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00096,99,Amouage,Amouage Epic Man,,240438,top,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00097,100,Amouage,"Amouage, Lyric Man",Touching Poetry,231633-B,lz_clone_name,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00098,101,Amouage,"Amouage, Opus V",Masterpiece,231662-B,lz_clone_name,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00099,102,Amouage,"Amouage,journey Woman",Golden Trip,701761-B,lz_clone_name,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00100,103,Amouage,Blossom Love Woman,,240432,top,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00101,104,Amouage,Honour Man,Kingsize,461236-A,lz_clone_name,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00102,105,Amouage,Interlude 53,,240803,top,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00103,106,Amouage,Interlude Woman,Midnight Blue Lady,701741,lz_clone_name,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00104,107,Amouage,Interude Man,Midnight Blue Man,340894-A,lz_clone_name,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
