id,profile_draft_id,brand,fragrance_name,concentration,description_original,family,notes,accords,mood,occasion,season,provenance_summary,source_ids,source_confidence,licensing_risk,copied_restricted_content,review_status,reviewer,rejection_reason
1,1,Aster & Vale,Moonlit Grove,Eau de parfum,"An original AromaTwin profile for Aster & Vale, built around a mossy, cedar-lined calm. The composition moves from bergamot and iris through oakmoss and patchouli to a base of cedar and leather. A thread of juniper separates it from others in the same direction.",woody chypre,"bergamot, iris, oakmoss, patchouli, cedar, leather, juniper","woody, green, leather, aromatic","refined, grounded","work, evening","autumn, winter","Original first-party profile authored for Aster & Vale; identity, taxonomy, and description are AromaTwin content reviewed for commercial use.",1,0.88,low,false,approved_for_catalogue,library.curation@aromatwin.internal,
2,2,Aster & Vale,Saltline,Eau de toilette,"Aster & Vale works a saline, open-air brightness into a fresh aquatic reading. Sea salt and bergamot open the profile, melon and water lily carry its centre, and driftwood and ambergris close it. A thread of cucumber separates it from others in the same direction.",fresh aquatic,"sea salt, bergamot, melon, water lily, driftwood, ambergris, cucumber","aquatic, marine, fresh, green","clean, energising","daytime, casual","spring, summer","Original first-party profile authored for Aster & Vale; identity, taxonomy, and description are AromaTwin content reviewed for commercial use.",2,0.9,low,false,approved_for_catalogue,library.curation@aromatwin.internal,
3,3,Aster & Vale,White Register,Eau de parfum,"A white floral direction from Aster & Vale shaped by a luminous white-floral heart. The profile is drawn with jasmine and tuberose at the top, orange blossom and ylang ylang at the heart, and sandalwood and musk in the base. A thread of gardenia separates it from others in the same direction.",white floral,"jasmine, tuberose, orange blossom, ylang ylang, sandalwood, musk, gardenia","floral, sweet, powdery, green","romantic, luminous","evening, special occasion","spring, summer","Original first-party profile authored for Aster & Vale; identity, taxonomy, and description are AromaTwin content reviewed for commercial use.",3,0.92,low,false,approved_for_catalogue,library.curation@aromatwin.internal,
4,4,Aster & Vale,Night Resin,Extrait de parfum,"An original AromaTwin profile for Aster & Vale, built around a smoky resinous depth. The composition moves from oud and incense through saffron and rose to a base of labdanum and sandalwood. A thread of leather separates it from others in the same direction.",amber woody,"oud, incense, saffron, rose, labdanum, sandalwood, leather","amber, woody, smoky, resinous, leather","opulent, nocturnal","evening, special occasion","autumn, winter","Original first-party profile authored for Aster & Vale; identity, taxonomy, and description are AromaTwin content reviewed for commercial use.",4,0.94,low,false,approved_for_catalogue,library.curation@aromatwin.internal,
5,5,Cormorant Hall,Green Ledger,Eau de parfum,"Cormorant Hall works a crisp green fougere structure into a aromatic fougere reading. Galbanum and lavender open the profile, geranium and oakmoss carry its centre, and vetiver and tonka bean close it. A thread of clary sage separates it from others in the same direction.",aromatic fougere,"galbanum, lavender, geranium, oakmoss, vetiver, tonka bean, clary sage","green, aromatic, woody","crisp, composed","daytime, work","spring, autumn","Original first-party profile authored for Cormorant Hall; identity, taxonomy, and description are AromaTwin content reviewed for commercial use.",5,0.96,low,false,approved_for_catalogue,library.curation@aromatwin.internal,
6,6,Cormorant Hall,Rose Meridian,Extrait de parfum,"A amber floral direction from Cormorant Hall shaped by a saffron-lit rose over warm resins. The profile is drawn with rose and saffron at the top, raspberry and patchouli at the heart, and labdanum and vanilla in the base. A thread of oud separates it from others in the same direction.",amber floral,"rose, saffron, raspberry, patchouli, labdanum, vanilla, oud","floral, amber, spicy, woody","opulent, warm","evening, special occasion","autumn, winter","Original first-party profile authored for Cormorant Hall; identity, taxonomy, and description are AromaTwin content reviewed for commercial use.",6,0.88,low,false,approved_for_catalogue,library.curation@aromatwin.internal,
7,7,Cormorant Hall,Sugar Ledger,Eau de parfum,"An original AromaTwin profile for Cormorant Hall, built around a warm, edible sweetness. The composition moves from vanilla and tonka bean through caramel and coffee to a base of benzoin and musk. A thread of dark chocolate separates it from others in the same direction.",gourmand,"vanilla, tonka bean, caramel, coffee, benzoin, musk, dark chocolate","sweet, gourmand, warm, dark","comforting, indulgent","evening, casual","autumn, winter","Original first-party profile authored for Cormorant Hall; identity, taxonomy, and description are AromaTwin content reviewed for commercial use.",7,0.9,low,false,approved_for_catalogue,library.curation@aromatwin.internal,
8,8,Cormorant Hall,Citrine Hour,Eau de toilette,"Cormorant Hall works a sunlit citrus opening over clean herbs into a citrus aromatic reading. Bergamot and lemon open the profile, neroli and lavender carry its centre, and rosemary and white musk close it. A thread of grapefruit separates it from others in the same direction.",citrus aromatic,"bergamot, lemon, neroli, lavender, rosemary, white musk, grapefruit","citrus, fresh, aromatic, fruity","bright, uplifting","daytime, casual","spring, summer","Original first-party profile authored for Cormorant Hall; identity, taxonomy, and description are AromaTwin content reviewed for commercial use.",8,0.92,low,false,approved_for_catalogue,library.curation@aromatwin.internal,
9,9,Solene Atelier,Smoke Meridian,Extrait de parfum,"A amber woody direction from Solene Atelier shaped by a smoky resinous depth. The profile is drawn with oud and incense at the top, saffron and rose at the heart, and labdanum and sandalwood in the base. A thread of cypriol separates it from others in the same direction.",amber woody,"oud, incense, saffron, rose, labdanum, sandalwood, cypriol","amber, woody, smoky, resinous","opulent, nocturnal","evening, special occasion","autumn, winter","Original first-party profile authored for Solene Atelier; identity, taxonomy, and description are AromaTwin content reviewed for commercial use.",9,0.94,low,false,approved_for_catalogue,library.curation@aromatwin.internal,
10,10,Solene Atelier,Slate Orchard,Eau de parfum,"An original AromaTwin profile for Solene Atelier, built around a mossy, cedar-lined calm. The composition moves from bergamot and iris through oakmoss and patchouli to a base of cedar and leather. A thread of tobacco leaf separates it from others in the same direction.",woody chypre,"bergamot, iris, oakmoss, patchouli, cedar, leather, tobacco leaf","woody, green, leather, smoky","refined, grounded","work, evening","autumn, winter","Original first-party profile authored for Solene Atelier; identity, taxonomy, and description are AromaTwin content reviewed for commercial use.",10,0.96,low,false,approved_for_catalogue,library.curation@aromatwin.internal,
11,11,Solene Atelier,Harbour Glass,Eau de toilette,"Solene Atelier works a saline, open-air brightness into a fresh aquatic reading. Sea salt and bergamot open the profile, melon and water lily carry its centre, and driftwood and ambergris close it. A thread of mineral salt separates it from others in the same direction.",fresh aquatic,"sea salt, bergamot, melon, water lily, driftwood, ambergris, mineral salt","aquatic, marine, fresh","clean, energising","daytime, casual","spring, summer","Original first-party profile authored for Solene Atelier; identity, taxonomy, and description are AromaTwin content reviewed for commercial use.",11,0.88,low,false,approved_for_catalogue,library.curation@aromatwin.internal,
12,12,Solene Atelier,Tuberose Wing,Eau de parfum,"A white floral direction from Solene Atelier shaped by a luminous white-floral heart. The profile is drawn with jasmine and tuberose at the top, orange blossom and ylang ylang at the heart, and sandalwood and musk in the base. A thread of honeysuckle separates it from others in the same direction.",white floral,"jasmine, tuberose, orange blossom, ylang ylang, sandalwood, musk, honeysuckle","floral, sweet, powdery","romantic, luminous","evening, special occasion","spring, summer","Original first-party profile authored for Solene Atelier; identity, taxonomy, and description are AromaTwin content reviewed for commercial use.",12,0.9,low,false,approved_for_catalogue,library.curation@aromatwin.internal,
13,13,Meridian & Ash,First Terrace,Eau de toilette,"An original AromaTwin profile for Meridian & Ash, built around a sunlit citrus opening over clean herbs. The composition moves from bergamot and lemon through neroli and lavender to a base of rosemary and white musk. A thread of green tea separates it from others in the same direction.",citrus aromatic,"bergamot, lemon, neroli, lavender, rosemary, white musk, green tea","citrus, fresh, aromatic, green","bright, uplifting","daytime, casual","spring, summer","Original first-party profile authored for Meridian & Ash; identity, taxonomy, and description are AromaTwin content reviewed for commercial use.",13,0.92,low,false,approved_for_catalogue,library.curation@aromatwin.internal,
14,14,Meridian & Ash,Fern Protocol,Eau de parfum,"Meridian & Ash works a crisp green fougere structure into a aromatic fougere reading. Galbanum and lavender open the profile, geranium and oakmoss carry its centre, and vetiver and tonka bean close it. A thread of fig leaf separates it from others in the same direction.",aromatic fougere,"galbanum, lavender, geranium, oakmoss, vetiver, tonka bean, fig leaf","green, aromatic, woody, fruity","crisp, composed","daytime, work","spring, autumn","Original first-party profile authored for Meridian & Ash; identity, taxonomy, and description are AromaTwin content reviewed for commercial use.",14,0.94,low,false,approved_for_catalogue,library.curation@aromatwin.internal,
15,15,Meridian & Ash,Saffron Letter,Extrait de parfum,"A amber floral direction from Meridian & Ash shaped by a saffron-lit rose over warm resins. The profile is drawn with rose and saffron at the top, raspberry and patchouli at the heart, and labdanum and vanilla in the base. A thread of blackcurrant separates it from others in the same direction.",amber floral,"rose, saffron, raspberry, patchouli, labdanum, vanilla, blackcurrant","floral, amber, spicy, fruity","opulent, warm","evening, special occasion","autumn, winter","Original first-party profile authored for Meridian & Ash; identity, taxonomy, and description are AromaTwin content reviewed for commercial use.",15,0.96,low,false,approved_for_catalogue,library.curation@aromatwin.internal,
16,16,Meridian & Ash,Warm Pantry,Eau de parfum,"An original AromaTwin profile for Meridian & Ash, built around a warm, edible sweetness. The composition moves from vanilla and tonka bean through caramel and coffee to a base of benzoin and musk. A thread of toasted hazelnut separates it from others in the same direction.",gourmand,"vanilla, tonka bean, caramel, coffee, benzoin, musk, toasted hazelnut","sweet, gourmand, warm, woody","comforting, indulgent","evening, casual","autumn, winter","Original first-party profile authored for Meridian & Ash; identity, taxonomy, and description are AromaTwin content reviewed for commercial use.",16,0.88,low,false,approved_for_catalogue,library.curation@aromatwin.internal,
17,17,Halcyon Rue,Night Blossom,Eau de parfum,"Halcyon Rue works a luminous white-floral heart into a white floral reading. Jasmine and tuberose open the profile, orange blossom and ylang ylang carry its centre, and sandalwood and musk close it. A thread of magnolia separates it from others in the same direction.",white floral,"jasmine, tuberose, orange blossom, ylang ylang, sandalwood, musk, magnolia","floral, sweet, powdery, citrus","romantic, luminous","evening, special occasion","spring, summer","Original first-party profile authored for Halcyon Rue; identity, taxonomy, and description are AromaTwin content reviewed for commercial use.",17,0.9,low,false,approved_for_catalogue,library.curation@aromatwin.internal,
18,18,Halcyon Rue,Oud Protocol,Extrait de parfum,"A amber woody direction from Halcyon Rue shaped by a smoky resinous depth. The profile is drawn with oud and incense at the top, saffron and rose at the heart, and labdanum and sandalwood in the base. A thread of dried plum separates it from others in the same direction.",amber woody,"oud, incense, saffron, rose, labdanum, sandalwood, dried plum","amber, woody, smoky, resinous, fruity","opulent, nocturnal","evening, special occasion","autumn, winter","Original first-party profile authored for Halcyon Rue; identity, taxonomy, and description are AromaTwin content reviewed for commercial use.",18,0.92,low,false,approved_for_catalogue,library.curation@aromatwin.internal,
