trace_id,rehearsal_id,candidate_id,stage_name,input_reference,output_reference,status,public_safe_summary,privacy_status,next_stage,blocking_issue,created_at
trace-fictional-rehearsal-001-01,fictional-rehearsal-001,fictional-candidate-001,supplier_intake,ref-00,ref-01,simulated,Fictional candidate completed the supplier_intake rehearsal check.,public_safe,supplier_matching,,2026-09-16T23:39:51.347189Z
trace-fictional-rehearsal-001-02,fictional-rehearsal-001,fictional-candidate-001,supplier_matching,ref-01,ref-02,simulated,Fictional candidate completed the supplier_matching rehearsal check.,public_safe,batch_planning,,2026-09-16T23:39:51.347189Z
trace-fictional-rehearsal-001-03,fictional-rehearsal-001,fictional-candidate-001,batch_planning,ref-02,ref-03,simulated,Fictional candidate completed the batch_planning rehearsal check.,public_safe,profile_draft_generation,,2026-09-16T23:39:51.347189Z
trace-fictional-rehearsal-001-04,fictional-rehearsal-001,fictional-candidate-001,profile_draft_generation,ref-03,ref-04,simulated,Fictional candidate completed the profile_draft_generation rehearsal check.,public_safe,enrichment_queue,,2026-09-16T23:39:51.347189Z
trace-fictional-rehearsal-001-05,fictional-rehearsal-001,fictional-candidate-001,enrichment_queue,ref-04,ref-05,simulated,Fictional candidate completed the enrichment_queue rehearsal check.,public_safe,provenance_review,,2026-09-16T23:39:51.347189Z
trace-fictional-rehearsal-001-06,fictional-rehearsal-001,fictional-candidate-001,provenance_review,ref-05,ref-06,simulated,Fictional candidate completed the provenance_review rehearsal check.,public_safe,review_packet,,2026-09-16T23:39:51.347189Z
trace-fictional-rehearsal-001-07,fictional-rehearsal-001,fictional-candidate-001,review_packet,ref-06,ref-07,simulated,Fictional candidate completed the review_packet rehearsal check.,public_safe,human_review_gate,,2026-09-16T23:39:51.347189Z
trace-fictional-rehearsal-001-08,fictional-rehearsal-001,fictional-candidate-001,human_review_gate,ref-07,ref-08,human_review_required,Fictional candidate completed the human_review_gate rehearsal check.,public_safe,maison_readiness,,2026-09-16T23:39:51.347189Z
trace-fictional-rehearsal-001-09,fictional-rehearsal-001,fictional-candidate-001,maison_readiness,ref-08,ref-09,human_review_required,Fictional candidate completed the maison_readiness rehearsal check.,public_safe,completion_summary,human approval required,2026-09-16T23:39:51.347189Z
trace-fictional-rehearsal-001-10,fictional-rehearsal-001,fictional-candidate-001,completion_summary,ref-09,ref-10,simulated,Fictional candidate completed the completion_summary rehearsal check.,public_safe,,,2026-09-16T23:39:51.347189Z
