id,brand_id,brand,brand_slug,name,slug,concentration,description,family,notes,accords,mood,occasion,season,source_confidence,provenance_summary,provenance_references,enrichment_review_id
1,1,Aster & Vale,aster-vale,Moonlit Grove,moonlit-grove,Eau de parfum,"An original AromaTwin profile for Aster & Vale, built around a mossy, cedar-lined calm. The composition moves from bergamot and iris through oakmoss and patchouli to a base of cedar and leather. A thread of juniper separates it from others in the same direction.",woody chypre,"bergamot, iris, oakmoss, patchouli, cedar, leather, juniper","woody, green, leather, aromatic","refined, grounded","work, evening","autumn, winter",0.88,"Original first-party profile authored for Aster & Vale; identity, taxonomy, and description are AromaTwin content reviewed for commercial use.",1,1
2,1,Aster & Vale,aster-vale,Saltline,saltline,Eau de toilette,"Aster & Vale works a saline, open-air brightness into a fresh aquatic reading. Sea salt and bergamot open the profile, melon and water lily carry its centre, and driftwood and ambergris close it. A thread of cucumber separates it from others in the same direction.",fresh aquatic,"sea salt, bergamot, melon, water lily, driftwood, ambergris, cucumber","aquatic, marine, fresh, green","clean, energising","daytime, casual","spring, summer",0.9,"Original first-party profile authored for Aster & Vale; identity, taxonomy, and description are AromaTwin content reviewed for commercial use.",2,2
3,1,Aster & Vale,aster-vale,White Register,white-register,Eau de parfum,"A white floral direction from Aster & Vale shaped by a luminous white-floral heart. The profile is drawn with jasmine and tuberose at the top, orange blossom and ylang ylang at the heart, and sandalwood and musk in the base. A thread of gardenia separates it from others in the same direction.",white floral,"jasmine, tuberose, orange blossom, ylang ylang, sandalwood, musk, gardenia","floral, sweet, powdery, green","romantic, luminous","evening, special occasion","spring, summer",0.92,"Original first-party profile authored for Aster & Vale; identity, taxonomy, and description are AromaTwin content reviewed for commercial use.",3,3
4,1,Aster & Vale,aster-vale,Night Resin,night-resin,Extrait de parfum,"An original AromaTwin profile for Aster & Vale, built around a smoky resinous depth. The composition moves from oud and incense through saffron and rose to a base of labdanum and sandalwood. A thread of leather separates it from others in the same direction.",amber woody,"oud, incense, saffron, rose, labdanum, sandalwood, leather","amber, woody, smoky, resinous, leather","opulent, nocturnal","evening, special occasion","autumn, winter",0.94,"Original first-party profile authored for Aster & Vale; identity, taxonomy, and description are AromaTwin content reviewed for commercial use.",4,4
5,2,Cormorant Hall,cormorant-hall,Green Ledger,green-ledger,Eau de parfum,"Cormorant Hall works a crisp green fougere structure into a aromatic fougere reading. Galbanum and lavender open the profile, geranium and oakmoss carry its centre, and vetiver and tonka bean close it. A thread of clary sage separates it from others in the same direction.",aromatic fougere,"galbanum, lavender, geranium, oakmoss, vetiver, tonka bean, clary sage","green, aromatic, woody","crisp, composed","daytime, work","spring, autumn",0.96,"Original first-party profile authored for Cormorant Hall; identity, taxonomy, and description are AromaTwin content reviewed for commercial use.",5,5
6,2,Cormorant Hall,cormorant-hall,Rose Meridian,rose-meridian,Extrait de parfum,"A amber floral direction from Cormorant Hall shaped by a saffron-lit rose over warm resins. The profile is drawn with rose and saffron at the top, raspberry and patchouli at the heart, and labdanum and vanilla in the base. A thread of oud separates it from others in the same direction.",amber floral,"rose, saffron, raspberry, patchouli, labdanum, vanilla, oud","floral, amber, spicy, woody","opulent, warm","evening, special occasion","autumn, winter",0.88,"Original first-party profile authored for Cormorant Hall; identity, taxonomy, and description are AromaTwin content reviewed for commercial use.",6,6
7,2,Cormorant Hall,cormorant-hall,Sugar Ledger,sugar-ledger,Eau de parfum,"An original AromaTwin profile for Cormorant Hall, built around a warm, edible sweetness. The composition moves from vanilla and tonka bean through caramel and coffee to a base of benzoin and musk. A thread of dark chocolate separates it from others in the same direction.",gourmand,"vanilla, tonka bean, caramel, coffee, benzoin, musk, dark chocolate","sweet, gourmand, warm, dark","comforting, indulgent","evening, casual","autumn, winter",0.9,"Original first-party profile authored for Cormorant Hall; identity, taxonomy, and description are AromaTwin content reviewed for commercial use.",7,7
8,2,Cormorant Hall,cormorant-hall,Citrine Hour,citrine-hour,Eau de toilette,"Cormorant Hall works a sunlit citrus opening over clean herbs into a citrus aromatic reading. Bergamot and lemon open the profile, neroli and lavender carry its centre, and rosemary and white musk close it. A thread of grapefruit separates it from others in the same direction.",citrus aromatic,"bergamot, lemon, neroli, lavender, rosemary, white musk, grapefruit","citrus, fresh, aromatic, fruity","bright, uplifting","daytime, casual","spring, summer",0.92,"Original first-party profile authored for Cormorant Hall; identity, taxonomy, and description are AromaTwin content reviewed for commercial use.",8,8
9,3,Solene Atelier,solene-atelier,Smoke Meridian,smoke-meridian,Extrait de parfum,"A amber woody direction from Solene Atelier shaped by a smoky resinous depth. The profile is drawn with oud and incense at the top, saffron and rose at the heart, and labdanum and sandalwood in the base. A thread of cypriol separates it from others in the same direction.",amber woody,"oud, incense, saffron, rose, labdanum, sandalwood, cypriol","amber, woody, smoky, resinous","opulent, nocturnal","evening, special occasion","autumn, winter",0.94,"Original first-party profile authored for Solene Atelier; identity, taxonomy, and description are AromaTwin content reviewed for commercial use.",9,9
10,3,Solene Atelier,solene-atelier,Slate Orchard,slate-orchard,Eau de parfum,"An original AromaTwin profile for Solene Atelier, built around a mossy, cedar-lined calm. The composition moves from bergamot and iris through oakmoss and patchouli to a base of cedar and leather. A thread of tobacco leaf separates it from others in the same direction.",woody chypre,"bergamot, iris, oakmoss, patchouli, cedar, leather, tobacco leaf","woody, green, leather, smoky","refined, grounded","work, evening","autumn, winter",0.96,"Original first-party profile authored for Solene Atelier; identity, taxonomy, and description are AromaTwin content reviewed for commercial use.",10,10
