duplicate_type,supplier_item_id,source_row_number,supplier_code,normalised_brand,candidate_original_name,supplier_clone_name,supplier_brand_raw,supplier_name_raw,supplier_cn_raw,price_aed,price_usd,variant_flags,data_quality_notes
exact_duplicate_row,SUP-20260426-01001,1017,240070,Escentric Molecules,Molecule 02,,ESCENTRIC MOLECULES,MOLECULE 02 SUPER,MOLECULE 02 SUPER,700.0,191.0,duplicate_supplier_code; exact_duplicate_row; super,Variant marker detected; confirm whether this is a performance variant or separate oil. Supplier code appears on more than one row; resolve before import to production. Exact duplicate row detected.
exact_duplicate_row,SUP-20260426-01009,1025,240070,Escentric Molecules,Molecule 02,,ESCENTRIC MOLECULES,MOLECULE 02 SUPER,MOLECULE 02 SUPER,700.0,191.0,duplicate_supplier_code; exact_duplicate_row; super,Variant marker detected; confirm whether this is a performance variant or separate oil. Supplier code appears on more than one row; resolve before import to production. Exact duplicate row detected.
exact_duplicate_row,SUP-20260426-02930,2973,338925,Xerjoff,Mefisto,House Of Evil,XERJOFF,MEFISTO,HOUSE OF EVIL,330.0,90.0,duplicate_supplier_code; exact_duplicate_row; lz_clone_name,LZ row: CN appears to be supplier clone/alternate name; verify against original fragrance before catalogue approval. Supplier code appears on more than one row; resolve before import to production. Exact duplicate row detected.
exact_duplicate_row,SUP-20260426-02934,2977,338925,Xerjoff,Mefisto,House Of Evil,XERJOFF,MEFISTO,HOUSE OF EVIL,330.0,90.0,duplicate_supplier_code; exact_duplicate_row; lz_clone_name,LZ row: CN appears to be supplier clone/alternate name; verify against original fragrance before catalogue approval. Supplier code appears on more than one row; resolve before import to production. Exact duplicate row detected.
duplicate_supplier_code,SUP-20260426-00346,353,240010,Boadicea The,Defender,,BOADICEA THE,DEFENDER,DEFENDER,1500.0,409.0,duplicate_supplier_code,Supplier code appears on more than one row; resolve before import to production.
duplicate_supplier_code,SUP-20260426-00621,632,240010,Chanel,Blue De Chanel,,CHANEL,BLUE DE CHANEL,BLUE DE CHANEL,310.0,85.0,duplicate_supplier_code,Supplier code appears on more than one row; resolve before import to production.
duplicate_supplier_code,SUP-20260426-00906,920,240031,Dior,Dior Homme Intense,,DIOR,DIOR HOMME INTENSE,DIOR HOMME INTENSE,700.0,191.0,duplicate_supplier_code; intense,Supplier code appears on more than one row; resolve before import to production.
duplicate_supplier_code,SUP-20260426-00918,933,240031,Dior,Homme Intense,,DIOR,HOMME INTENSE,HOMME INTENSE,700.0,191.0,duplicate_supplier_code; intense,Supplier code appears on more than one row; resolve before import to production.
duplicate_supplier_code,SUP-20260426-00747,759,240036,Creed,Carmina,,CREED,CARMINA,CARMINA,350.0,96.0,duplicate_supplier_code,Supplier code appears on more than one row; resolve before import to production.
duplicate_supplier_code,SUP-20260426-01030,1046,240036,Singles Notes,Laundry,,SINGLES NOTES,LAUNDRY,LAUNDRY,200.0,55.0,duplicate_supplier_code; possible_raw_material_or_single_note,"Supplier code appears on more than one row; resolve before import to production. May be a raw material, fixative, or single-note ingredient rather than a retail fragrance."
duplicate_supplier_code,SUP-20260426-01552,1576,240037,Kajal,Dahab,,KAJAL,DAHAB,DAHAB,650.0,178.0,duplicate_supplier_code,Supplier code appears on more than one row; resolve before import to production.
duplicate_supplier_code,SUP-20260426-01031,1047,240037,Singles Notes,Fresh Fig,,SINGLES NOTES,FRESH FIG,FRESH FIG,200.0,55.0,duplicate_supplier_code; possible_raw_material_or_single_note,"Supplier code appears on more than one row; resolve before import to production. May be a raw material, fixative, or single-note ingredient rather than a retail fragrance."
duplicate_supplier_code,SUP-20260426-02310,2344,240041,Parfums De Marly,Althair,,PARFUME DE,ALTHAIR,ALTHAIR,950.0,260.0,duplicate_supplier_code,Supplier code appears on more than one row; resolve before import to production.
duplicate_supplier_code,SUP-20260426-02594,2633,240041,Swiss Arabian,Jannatul Firdous,,SWISS ARABIAN,JANNATUL FIRDOUS,JANNATUL FIRDOUS,275.0,75.0,duplicate_supplier_code,Supplier code appears on more than one row; resolve before import to production.
duplicate_supplier_code,SUP-20260426-01896,1924,240066,Maison Francis Kurkdjian,Gentle Fludity Gold,,MAISON F.,GENTLE FLUDITY GOLD,GENTLE FLUDITY GOLD,1000.0,273.0,duplicate_supplier_code,Supplier code appears on more than one row; resolve before import to production.
duplicate_supplier_code,SUP-20260426-01028,1044,240066,Singles Notes,Caramel,,SINGLES NOTES,CARAMEL,CARAMEL,200.0,55.0,duplicate_supplier_code; possible_raw_material_or_single_note,"Supplier code appears on more than one row; resolve before import to production. May be a raw material, fixative, or single-note ingredient rather than a retail fragrance."
duplicate_supplier_code,SUP-20260426-01001,1017,240070,Escentric Molecules,Molecule 02,,ESCENTRIC MOLECULES,MOLECULE 02 SUPER,MOLECULE 02 SUPER,700.0,191.0,duplicate_supplier_code; exact_duplicate_row; super,Variant marker detected; confirm whether this is a performance variant or separate oil. Supplier code appears on more than one row; resolve before import to production. Exact duplicate row detected.
duplicate_supplier_code,SUP-20260426-01009,1025,240070,Escentric Molecules,Molecule 02,,ESCENTRIC MOLECULES,MOLECULE 02 SUPER,MOLECULE 02 SUPER,700.0,191.0,duplicate_supplier_code; exact_duplicate_row; super,Variant marker detected; confirm whether this is a performance variant or separate oil. Supplier code appears on more than one row; resolve before import to production. Exact duplicate row detected.
duplicate_supplier_code,SUP-20260426-01607,1631,240523,Kilian,Old Fashoined,,KILIAN,OLD FASHOINED,OLD FASHOINED,700.0,191.0,duplicate_supplier_code,Supplier code appears on more than one row; resolve before import to production.
duplicate_supplier_code,SUP-20260426-02386,2421,240523,Reef Perfumes,Reef 6,,REEF PERFUMES,REEF 6,REEF 6,850.0,232.0,duplicate_supplier_code,Supplier code appears on more than one row; resolve before import to production.
duplicate_supplier_code,SUP-20260426-01129,1146,2777,Fixative,Fixative,,FIXATIVE,FIXATIVE,FIXATIVE,250.0,68.0,duplicate_supplier_code; possible_raw_material_or_single_note,"Supplier code appears on more than one row; resolve before import to production. May be a raw material, fixative, or single-note ingredient rather than a retail fragrance."
duplicate_supplier_code,SUP-20260426-00489,498,2777,Perfume Compounds,Fixative,,PERFUME COMPOUNDS,FIXATIVE,FIXATIVE,250.0,68.0,duplicate_supplier_code; possible_raw_material_or_single_note,"Supplier code appears on more than one row; resolve before import to production. May be a raw material, fixative, or single-note ingredient rather than a retail fragrance."
duplicate_supplier_code,SUP-20260426-01128,1145,2778,Fixative,Fixative,,FIXATIVE,FIXATIVE TOP,FIXATIVE TOP,550.0,150.0,duplicate_supplier_code; possible_raw_material_or_single_note; top,"Variant marker detected; confirm whether this is a performance variant or separate oil. Supplier code appears on more than one row; resolve before import to production. May be a raw material, fixative, or single-note ingredient rather than a retail fragrance."
