question_id,section,question_text,answer_type,options,scoring_dimensions,required,public_safe_hint,privacy_note
family,scent_family_preference,Which scent families appeal to you?,multi_choice,"[{""label"": ""Citrus"", ""option_id"": ""citrus""}, {""label"": ""Floral"", ""option_id"": ""floral""}, {""label"": ""Woody"", ""option_id"": ""woody""}, {""label"": ""Amber"", ""option_id"": ""amber""}, {""label"": ""Fresh"", ""option_id"": ""fresh""}, {""label"": ""Gourmand"", ""option_id"": ""gourmand""}]","[""scent_family_weights""]",True,Choose only from the listed scent-preference options.,"No identity, contact, demographic, or open-ended response is requested."
intensity,intensity_preference,Which scent intensity do you prefer?,single_choice,"[{""label"": ""Light"", ""option_id"": ""light""}, {""label"": ""Balanced"", ""option_id"": ""balanced""}, {""label"": ""Bold"", ""option_id"": ""bold""}]","[""intensity_band""]",True,Choose only from the listed scent-preference options.,"No identity, contact, demographic, or open-ended response is requested."
fresh_warm,freshness_warmth_preference,Where is your preferred balance?,single_choice,"[{""label"": ""Fresh"", ""option_id"": ""fresh""}, {""label"": ""Balanced"", ""option_id"": ""balanced""}, {""label"": ""Warm"", ""option_id"": ""warm""}]","[""freshness_band"", ""warmth_band""]",True,Choose only from the listed scent-preference options.,"No identity, contact, demographic, or open-ended response is requested."
sweetness,sweetness_preference,How sweet should the scent profile feel?,scale,"[{""label"": ""1"", ""option_id"": ""1""}, {""label"": ""2"", ""option_id"": ""2""}, {""label"": ""3"", ""option_id"": ""3""}, {""label"": ""4"", ""option_id"": ""4""}, {""label"": ""5"", ""option_id"": ""5""}]","[""sweetness_band""]",True,Choose only from the listed scent-preference options.,"No identity, contact, demographic, or open-ended response is requested."
woody,woody_resinous_preference,Which woody or resinous styles appeal?,multi_choice,"[{""label"": ""Dry Woods"", ""option_id"": ""dry_woods""}, {""label"": ""Soft Woods"", ""option_id"": ""soft_woods""}, {""label"": ""Resinous"", ""option_id"": ""resinous""}, {""label"": ""None"", ""option_id"": ""none""}]","[""note_family_weights"", ""accord_weights""]",True,Choose only from the listed scent-preference options.,"No identity, contact, demographic, or open-ended response is requested."
floral,floral_preference,Which floral styles appeal?,multi_choice,"[{""label"": ""Soft Floral"", ""option_id"": ""soft_floral""}, {""label"": ""White Floral"", ""option_id"": ""white_floral""}, {""label"": ""Rose Style"", ""option_id"": ""rose_style""}, {""label"": ""None"", ""option_id"": ""none""}]","[""note_family_weights"", ""accord_weights""]",True,Choose only from the listed scent-preference options.,"No identity, contact, demographic, or open-ended response is requested."
citrus,citrus_fresh_preference,Which citrus or fresh styles appeal?,multi_choice,"[{""label"": ""Bright Citrus"", ""option_id"": ""bright_citrus""}, {""label"": ""Green Fresh"", ""option_id"": ""green_fresh""}, {""label"": ""Aquatic Fresh"", ""option_id"": ""aquatic_fresh""}, {""label"": ""None"", ""option_id"": ""none""}]","[""note_family_weights"", ""accord_weights""]",True,Choose only from the listed scent-preference options.,"No identity, contact, demographic, or open-ended response is requested."
gourmand,gourmand_preference,Which gourmand styles appeal?,multi_choice,"[{""label"": ""Vanilla Style"", ""option_id"": ""vanilla_style""}, {""label"": ""Cocoa Style"", ""option_id"": ""cocoa_style""}, {""label"": ""Caramel Style"", ""option_id"": ""caramel_style""}, {""label"": ""None"", ""option_id"": ""none""}]","[""note_family_weights"", ""accord_weights""]",True,Choose only from the listed scent-preference options.,"No identity, contact, demographic, or open-ended response is requested."
occasion,occasion_preference,When would you most like to wear the scent?,ranked_choice,"[{""label"": ""Everyday"", ""option_id"": ""everyday""}, {""label"": ""Evening"", ""option_id"": ""evening""}, {""label"": ""Special Occasion"", ""option_id"": ""special_occasion""}, {""label"": ""Outdoors"", ""option_id"": ""outdoors""}]","[""occasion_weights""]",True,Choose only from the listed scent-preference options.,"No identity, contact, demographic, or open-ended response is requested."
season,season_preference,Which seasons should the scent complement?,multi_choice,"[{""label"": ""Spring"", ""option_id"": ""spring""}, {""label"": ""Summer"", ""option_id"": ""summer""}, {""label"": ""Autumn"", ""option_id"": ""autumn""}, {""label"": ""Winter"", ""option_id"": ""winter""}]","[""season_weights""]",True,Choose only from the listed scent-preference options.,"No identity, contact, demographic, or open-ended response is requested."
