id,supplier_item_id,clone_fragrance_id,original_fragrance_id,product_id,relationship_type,similarity_score,score_status,difference_summary,performance_notes,review_status
1,,9,4,,inspired_by,0.82,reviewed,Both profiles sit in the amber oud direction; Solene Atelier reads closer to its base notes than Aster & Vale.,"Reviewed first-party comparison, not a lab measurement.",approved
2,,18,9,,inspired_by,0.82,reviewed,Both profiles sit in the amber oud direction; Halcyon Rue reads closer to its base notes than Solene Atelier.,"Reviewed first-party comparison, not a lab measurement.",approved
3,,27,18,,inspired_by,0.82,reviewed,Both profiles sit in the amber oud direction; Lumen Botanica reads closer to its base notes than Halcyon Rue.,"Reviewed first-party comparison, not a lab measurement.",approved
4,,36,27,,inspired_by,0.82,reviewed,Both profiles sit in the amber oud direction; Saltwood Parfums reads closer to its base notes than Lumen Botanica.,"Reviewed first-party comparison, not a lab measurement.",approved
5,,41,36,,inspired_by,0.82,reviewed,Both profiles sit in the amber oud direction; Northwind Apothecary reads closer to its base notes than Saltwood Parfums.,"Reviewed first-party comparison, not a lab measurement.",approved
6,,13,8,,inspired_by,0.82,reviewed,Both profiles sit in the citrus aromatic direction; Meridian & Ash reads closer to its base notes than Cormorant Hall.,"Reviewed first-party comparison, not a lab measurement.",approved
7,,22,13,,inspired_by,0.82,reviewed,Both profiles sit in the citrus aromatic direction; Verdigris House reads closer to its base notes than Meridian & Ash.,"Reviewed first-party comparison, not a lab measurement.",approved
8,,31,22,,inspired_by,0.82,reviewed,Both profiles sit in the citrus aromatic direction; Ferrier & Cole reads closer to its base notes than Verdigris House.,"Reviewed first-party comparison, not a lab measurement.",approved
9,,40,31,,inspired_by,0.82,reviewed,Both profiles sit in the citrus aromatic direction; Ombra Fiore reads closer to its base notes than Ferrier & Cole.,"Reviewed first-party comparison, not a lab measurement.",approved
10,,45,40,,inspired_by,0.82,reviewed,Both profiles sit in the citrus aromatic direction; Calder & Wren reads closer to its base notes than Ombra Fiore.,"Reviewed first-party comparison, not a lab measurement.",approved
11,,11,2,,inspired_by,0.82,reviewed,Both profiles sit in the fresh aquatic direction; Solene Atelier reads closer to its base notes than Aster & Vale.,"Reviewed first-party comparison, not a lab measurement.",approved
